employee_id,department,salary,years_at_company,age,job_satisfaction,performance_score,last_promotion_year,education_level,gender,hired_date
1,Sales,"60,000",5,30,7,85,2018,Bachelor,Male,15-06-2015
2,Engineering,95.000,8,35,8,90,2017,Master,F,01-Sep-2012
3,HR,45K,2 years,28,6,70,2020,Bachelor,Female,23-04-2019
4,Marketing,75K,10,40,9,95,2015,Master,M,10-Feb-2010
5,IT,"50,000.00",3 years,25,5,60,2011,Bachelor,Male,18-07-18
6,Engineering,85K,6,33,7,88,2019,Master,M,03-Oct-2016
7,Marketing,70,7,38,8,92,2016,Bachelor,F,14-May-2013
8,Sales,55,4,29,6,75,2021,Bachelor,M,22-Jun-2018
9,IT,48,2,26,5,62,2022,Master,F,07-Nov-2019
10,HR,40K,1,24,4,68,2023,Bachelor,F,30-Aug-2020
11,Engineering,80,5,32,7,85,2018,Master,M,12-Dec-2017
12,IT,52,3,27,5,60,2020,Bachelor,M,19-Apr-2018
13,Sales,"57,000.00",5,31,6,80,2019,Master,F,25-Jul-2016
14,Marketing,70000,8,37,8,94,2017,Bachelor,M,08-Mar-2014
15,HR,55000,2,25,5,70,2021,Master,F,11-Sep-2018
16,Engineering,48000,7,34,8,90,2015,Bachelor,F,28-Oct-2012
17,IT,40000,4,28,6,65,2023,Master,M,05-Jun-2020
18,Sales,80000,6,30,7,85,2018,Bachelor,Male,15-Jun-2015
19,Marketing,52000,10,40,9,95,2015,Master,M,10-Feb-2010
20,HR,57000,2,28,6,70,2020,Bachelor,F,23-Apr-2019
21,IT,72000,3,25,5,60,2011,Bachelor,Male,18-Jul-2018
22,Engineering,42000,6,33,7,88,2019,Master,M,03-Oct-2016
23,Marketing,90000,7,38,8,92,2016,Bachelor,F,14-May-2013
24,Sales,55000,4,29,6,75,2021,Bachelor,M,22-Jun-2018
25,IT,"60,000",2,26,5,62,2022,Master,F,07-Nov-2019
26,HR,75000,1,24,4,68,2023,Bachelor,F,30-Aug-2020
27,Engineering,45000,4,29,6,72,2023,Master,M,14-Nov-2020
28,Marketing,"50,000.00",5,34,7,80,2019,Bachelor,Female,08-Oct-2018
29,Sales,,2,26,5,65,2022,Bachelor,M,05-Jul-2019
30,IT,70000,1,24,4,60,2023,Master,F,18-Feb-2020
31,HR,55000,1,23,3,55,2024,Bachelor,M,25-Jun-2021
32,Engineering,48000,6,32,7,85,2018,Master,M,12-Dec-2017
33,IT,40000,3,27,5,62,2020,Bachelor,M,19-Apr-2018
34,Sales,78K,5,31,6,80,2019,Master,F,25-07-2016
35,Marketing,63000,8,37,8,94,2017,,M,08-Mar-2014
36,HR,48000,2,25,5,70,2021,Master,F,11-Sep-2018
37,Engineering,42000,7,34,8,90,2015,Bachelor,F,28-Oct-2012
38,IT,35000,4,28,6,65,2023,Master,M,06-May-2020
39,Sales,82000,6,30,7,85,2018,Bachelor,M,15-Jun-2015
40,Marketing,53000,10,40,9,95,2015,Master,M,10-Feb-2010
41,HR,58000,2,28,6,70,2020,Bachelor,F,23-Apr-2019
42,IT,73000,3,25,5,60,2011,,M,18-Jul-2018
43,Engineering,43000,6,33,7,88,2019,Master,M,03-Oct-2016
44,Marketing,88K,7,38,8,92,2016,Bachelor,F,14-May-2013
45,Sales,55000,4,29,6,75,2021,Bachelor,M,22-06-2018
46,IT,60000,2,26,5,62,2022,Master,F,07-Nov-2019
47,HR,75000,1,24,4,68,2023,Bachelor,F,30-Aug-2020
